net,length_um
net2,166.23
net1,142.11
clknet_1_1__leaf_clk,122.1
_092_,120.85
clknet_1_0__leaf_clk,100.33
net17,77.1
net22,76.74
clk,52.55
_069_,46.72
net21,45.82
_048_,40.5
net11,38.22
clknet_0_clk,35.16
net9,35.12
_030_,33.04
_054_,30.92
net16,30.02
net12,28.4
_087_,27.2
spks_cnt\[1\],26.64
net19,26.6
time_step_post\[5\],25.3
net23,24.18
weight_before[6],23.89
_088_,22.63
net10,22.08
net5,21.66
_062_,21.24
net24,20.72
net13,20.62
spk_pre,19.4
_026_,18.98
net20,18.9
net26,18.04
weight_after[3],17.66
net4,17.26
time_step_post\[6\],17.2
_045_,17.02
time_step_pre\[4\],16.92
net8,16.62
time_step_post\[3\],16.36
time_step_pre\[3\],16.12
_043_,16
net3,15.78
time_step_pre\[0\],15.66
time_step_pre\[1\],15.66
weight_after[5],15.62
spks_cnt\[0\],15.56
_008_,15.185
time_step_post\[2\],14.5
time_step_post\[0\],14.42
time_step_pre\[5\],14.4
time_step[7],14.29
net7,14.08
weight_before[4],13.32
_009_,13.215
_031_,13.165
time_step_post\[1\],13.06
time_step_pre\[7\],13.06
_070_,12.98
time_step[3],12.96
time_step_pre\[6\],12.8
net27,12.8
_081_,11.94
_091_,11.775
_027_,11.48
_036_,11.42
net29,11.42
_096_,11.26
weight_after[2],11.14
time_step[5],11.11
_064_,11.02
_024_,10.825
_035_,10.76
time_step[2],10.71
time_step[6],10.66
_095_,10.58
_033_,10.5
_072_,10.28
_046_,10.16
_038_,10.045
_078_,9.98
weight_after[7],9.88
weight_before[2],9.74
weight_before[3],9.74
weight_after[6],9.67
_037_,9.58
net6,9.48
net46,9.2
time_step[4],9.18
weight_after[1],9.18
_057_,9.12
_049_,8.9
_059_,8.575
_051_,8.56
time_step_pre\[2\],8.46
_093_,8.36
_066_,8.335
_039_,8.24
_056_,8.2
_014_,7.92
_021_,7.685
_075_,7.64
weight_after[4],7.58
_090_,7.42
net44,7.34
_002_,7.145
weight_before[1],7.11
_061_,7.1
_050_,7.06
net25,7.06
weight_before[7],6.67
net15,6.66
_094_,6.5
_074_,6.18
_080_,6.18
time_step_post\[4\],6.16
_044_,6.14
_079_,6.06
net43,6.04
time_step[1],5.97
net39,5.96
net42,5.92
weight_after[0],5.75
_085_,5.72
_029_,5.68
net37,5.68
_017_,5.64
time_step[0],5.63
_025_,5.62
time_step_post\[7\],5.56
_028_,5.38
_042_,5.34
_040_,5.28
_071_,5.28
_084_,5.26
_089_,5.26
spk_post,5.19
_004_,5.16
net18,5.1
weight_before[5],4.95
_076_,4.88
net14,4.88
_073_,4.8
net32,4.8
net35,4.66
_041_,4.6
weight_before[0],4.39
_032_,4.36
_052_,4.22
_018_,4.18
_012_,4.065
_010_,3.9
_067_,3.88
net33,3.68
_047_,3.56
_065_,3.54
_006_,3.465
_083_,3.42
net40,3.42
_022_,3.395
_034_,3.08
_003_,2.86
net34,2.86
_060_,2.835
_011_,2.785
net31,2.76
_001_,2.62
_077_,2.5
_005_,2.42
net47,2.4
net48,2.4
_015_,2.325
net30,2.3
net36,2.3
net38,2.3
net41,2.3
net45,2.3
_019_,2.255
_053_,2.18
_058_,2.16
_055_,2.06
_000_,2.025
_016_,2.025
_020_,2.025
_013_,1.865
_063_,1.82
_007_,1.575
_068_,1.475
_023_,1.405
_082_,1.14
_086_,1.14
net28,0.92
